id,name,id_facility_type,description,website_url,deleted_at
5c463df5-a11f-527f-9d35-882508e25a07,"Všeobecná ambulancia pre dospelých, Banská Bystrica, (MUDr. Darina Kordíková, s. r. o.)",9595ec5e-5edf-59f4-af99-2d895c76145f,"Import e-VÚC | Identifikátor: 66-55917909-A0001 | Poskytovateľ: MUDr. Darina Kordíková, s. r. o. | IČO: 55917909 | Odbornosť: všeobecné lekárstvo",,
77b204c1-7c86-538a-8b98-86601a2b1c92,"Ambulancia čeľustnej ortopédie, Banská Bystrica, (hh.ortho s.r.o.)",d1eb287c-f85c-5489-8183-70e1ab3066f2,Import e-VÚC | Identifikátor: 66-51803178-A0001 | Poskytovateľ: hh.ortho s.r.o. | IČO: 51803178 | Odbornosť: čeľustná ortopédia,,
889c5523-abfe-5daa-883d-341a1d8f7cd1,"Psychiatrická ambulancia, Banská Bystrica, (Nemocnica pre obvinených a odsúdených a Ústav na výkon trestu odňatia slobody)",789d9980-65d3-5652-abb0-a0eb237added,Import e-VÚC | Identifikátor: 51-00738301-A0112 | Poskytovateľ: Nemocnica pre obvinených a odsúdených a Ústav na výkon trestu odňatia slobody | IČO: 00738301 | Odbornosť: psychiatria,,
ff4e2359-8b61-5eb6-9ba6-a474d27a7edc,"Psychiatrická ambulancia, Banská Bystrica, (Nemocnica pre obvinených a odsúdených a Ústav na výkon trestu odňatia slobody)",789d9980-65d3-5652-abb0-a0eb237added,Import e-VÚC | Identifikátor: 51-00738301-A0113 | Poskytovateľ: Nemocnica pre obvinených a odsúdených a Ústav na výkon trestu odňatia slobody | IČO: 00738301 | Odbornosť: psychiatria,,
7b7535f0-f98b-5dd6-9ecc-b833ee1a473c,"Ambulancia zubného lekárstva, Banská Bystrica, (EDEMED s.r.o.)",bd60949d-dfc4-516d-91db-bae6ef4e5a49,Import e-VÚC | Identifikátor: 66-46991492-A0003 | Poskytovateľ: EDEMED s.r.o. | IČO: 46991492 | Odbornosť: zubné lekárstvo,,
40f64977-48ed-591b-ad99-71e5b21bc6b8,"Všeobecná ambulancia pre dospelých, Banská Bystrica, (MUDr. Mária Tóthová, s. r. o.)",9595ec5e-5edf-59f4-af99-2d895c76145f,"Import e-VÚC | Identifikátor: 66-55917569-A0001 | Poskytovateľ: MUDr. Mária Tóthová, s. r. o. | IČO: 55917569 | Odbornosť: všeobecné lekárstvo",,
e175ecf8-d9f6-5204-8927-090137b92368,"Jednodňová zdravotná starostlivosť, ortopédia, Banská Bystrica, (Klinika Rudlová s. r. o.)",59ecdc54-fe75-52af-8703-3ee09a448675,Import e-VÚC | Identifikátor: 66-55563333-A0002 | Poskytovateľ: Klinika Rudlová s. r. o. | IČO: 55563333 | Odbornosť: ortopédia,,
069b32f3-441c-5189-bd19-c8088e19472a,"Jednodňová zdravotná starostlivosť, gastroenterológia, Banská Bystrica, (Klinika Rudlová s. r. o.)",59ecdc54-fe75-52af-8703-3ee09a448675,Import e-VÚC | Identifikátor: 66-55563333-A0003 | Poskytovateľ: Klinika Rudlová s. r. o. | IČO: 55563333 | Odbornosť: gastroenterológia,,
202b9117-5cc3-5948-818e-dcde4b701caf,"Jednodňová zdravotná starostlivosť, plastická chirurgia, Banská Bystrica, (Klinika Rudlová s. r. o.)",59ecdc54-fe75-52af-8703-3ee09a448675,Import e-VÚC | Identifikátor: 66-55563333-A0004 | Poskytovateľ: Klinika Rudlová s. r. o. | IČO: 55563333 | Odbornosť: plastická chirurgia,,
66e44c9a-3821-5a32-a118-f1d3ceeeacf7,"Jednodňová zdravotná starostlivosť, oftalmológia, Banská Bystrica, (Klinika Rudlová s. r. o.)",59ecdc54-fe75-52af-8703-3ee09a448675,Import e-VÚC | Identifikátor: 66-55563333-A0005 | Poskytovateľ: Klinika Rudlová s. r. o. | IČO: 55563333 | Odbornosť: oftalmológia,,
