id,slug,category,name
8b72a4f8-f092-5442-b855-2b9d39c2e2d3,mudr-marcela-bielekova-lekar,e-vuc,MUDr. Marcela Bieleková (lekár)
756be195-ffe9-5524-b014-8863e4ba4a23,mudr-maros-daxner-lekar,e-vuc,MUDr. Maroš Daxner (lekár)
5d75dcbc-21d7-5828-be10-06203f0849d6,mudr-martin-micej,e-vuc,MUDr. Martin Mičej
02a4a5db-9b07-5be5-8f15-57f5569f5fbf,mudr-martin-micej-lekar,e-vuc,MUDr. Martin Mičej (lekár)
c2904cf0-24be-54e3-a46d-aa20b53d09ab,mudr-martin-macaj-lekar,e-vuc,MUDr. Martin Máčaj (lekár)
98d3c7d5-2ad0-5b81-a85c-8b08d072e942,mudr-martin-tkacik-lekar,e-vuc,MUDr. Martin Tkáčik (lekár)
679d4dab-99f0-5ff2-b059-098126ed3c15,mudr-martina-becova-lekar,e-vuc,MUDr. Martina Becová (lekár)
a472f475-f538-52d9-a909-cbc482dcc94a,mudr-martina-broskova-lekar,e-vuc,MUDr. Martina Brosková (lekár)
bd575657-2199-55a3-9e80-53e6509f08f4,mudr-martina-vaganova,e-vuc,MUDr. Martina Vagáňová
578c525f-8f9f-50a3-8e7d-25d6b7863237,mudr-martina-vaganova-lekar,e-vuc,MUDr. Martina Vagáňová (lekár)
d5dfcbad-2380-5f91-8f93-116e034276b2,mudr-martinikova-martina-lekar,e-vuc,MUDr. Martiníková Martina (lekár)
0d9b1e64-9971-55a6-873e-1a1964de5f9f,mudr-matus-rutkay-lekar,e-vuc,MUDr. Matúš Rutkay (lekár)
c6639378-fe42-5ac5-a8e7-6ee7e7bb1be0,mudr-mikulas-nagy-lekar,e-vuc,MUDr. Mikuláš Nagy (lekár)
0d117593-d52b-5e33-be2d-b6c1a57d7a0c,mudr-milan-darmo-lekar,e-vuc,MUDr. Milan Darmo (lekár)
d5bf8a01-a941-5f88-9766-92870492511a,mudr-miriama-chovancova-lekar,e-vuc,MUDr. Miriama Chovancová (lekár)
4700fc0a-870e-50de-bdaa-b1c4de838d1b,mudr-miroslav-kosik,e-vuc,MUDr. Miroslav Košík
441abeee-6bc3-56b7-949a-fb181872771c,mudr-miroslav-sestina-lekar,e-vuc,MUDr. Miroslav Šestina (lekár)
947ba13b-aafc-5f27-ae3f-61aa40d6e5a2,mudr-miroslava-babicova-lekar,e-vuc,MUDr. Miroslava Babicová (lekár)
ae39e9a4-86b0-5796-bef7-b4da40e83a82,mudr-monika-marcokova-lekar,e-vuc,MUDr. Monika Marčoková (lekár)
dda3b72a-4cea-5e72-a5d7-9d7702b229a9,mudr-monika-sestakova-lekar,e-vuc,MUDr. Monika Šestáková (lekár)
73d1c1dd-8d10-59f5-9a03-4f949a56c68d,mudr-maria-knapova-lekar,e-vuc,MUDr. Mária Knapová (lekár)
71b41fad-5ca0-5f97-bd20-6a39b5c816ae,mudr-nikola-brodianska-lekar,e-vuc,MUDr. Nikola Brodianska (lekár)
93f2c0e6-308b-566b-9882-6ea11216ed50,mudr-norbert-surovy,e-vuc,MUDr. Norbert Surový
7d9fcb0e-9be1-53a0-91aa-cdb794a0e6d8,mudr-ondrej-antal,e-vuc,MUDr. Ondrej Antal
7850865f-5cc8-55ea-acae-43eb62f99372,mudr-pavel-chovanec-lekar,e-vuc,MUDr. Pavel Chovanec (lekár)
02b45062-6076-5e90-9493-b110f9a8e483,mudr-pavel-mraz-lekar,e-vuc,MUDr. Pavel Mráz (lekár)
c3598642-7320-5090-8d05-045a16af6421,mudr-peter-biensky-lekar,e-vuc,MUDr. Peter Biensky (lekár)
ec52ef94-dc50-53fe-8c15-2f80d72aa1fd,mudr-peter-molitoris-lekar,e-vuc,MUDr. Peter Molitoris (lekár)
18b1fc61-6ef8-5de2-a594-e4588305ae00,mudr-petra-kapuscinska-lekar,e-vuc,MUDr. Petra Kapuscinská (lekár)
9d33cf06-714e-5296-9437-4b2c65260884,mudr-petra-sopkova-lekar,e-vuc,MUDr. Petra Sopková (lekár)
488234bd-162c-5dcb-bdeb-c948c6df647c,mudr-purgatova-kristina-student-vseobecneho-lekarstva,e-vuc,MUDr. Purgátová Kristína (študent všeobecného lekárstva)
9ebd2917-4a2f-55a7-845b-cbbea5e3f86b,mudr-radoslav-bielik-lekar,e-vuc,MUDr. Radoslav Bielik (lekár)
f47be4ca-d3cc-5c59-8873-9e084dfae583,mudr-radoslav-kminiak,e-vuc,MUDr. Radoslav Kminiak
1e0dd86c-68e3-5907-b014-2816adee416e,mudr-radoslav-kminiak-lekar,e-vuc,MUDr. Radoslav Kminiak (lekár)
0e60e8dc-702f-5af0-b866-65878a3c9e99,mudr-renata-podobenova-lekar,e-vuc,MUDr. Renáta Podobenová (lekár)
cff008b9-4438-540a-88b9-ff752ded3393,mudr-roman-gal-lekar,e-vuc,MUDr. Roman Gál (lekár)
a846fb4f-ef56-5b4d-98a5-5a8bb4b88e47,mudr-roman-necpal-lekar,e-vuc,MUDr. Roman Necpal (lekár)
b376040d-6a0e-559a-abe9-fb2a5bd89616,mudr-silvia-svinciakova-lekar,e-vuc,MUDr. Silvia Svinčiaková (lekár)
cf7e5fb2-10d6-582d-ace0-8ec45207c86c,mudr-stankovicova-zuzana-lekar,e-vuc,MUDr. Stankovičová Zuzana (lekár)
cc4ca650-d84b-5fe8-9e55-e095d340087a,mudr-vladimir-vyrostko-lekar,e-vuc,MUDr. VLadimír Výrostko (lekár)
1f4f711d-06c0-5523-8916-58bf61e818f6,mudr-valeria-kelemenova-lekar,e-vuc,MUDr. Valeria Kelemenová (lekár)
ebdc1072-d28e-54cd-b1d9-224a180dc39e,mudr-viera-dekretova-lekar,e-vuc,MUDr. Viera Dekrétová (lekár)
51b72ee6-8681-5d4d-82b1-0486d2573cc1,mudr-vladimir-holec,e-vuc,MUDr. Vladimír Holec
3798d373-dd0b-56f9-b87d-11a5f3fd9389,mudr-vladimir-vachalik-lekar,e-vuc,MUDr. Vladimír Vachalík (lekár)
5cc05c23-266d-5617-a259-971a1821ca5a,mudr-vladimir-vanik,e-vuc,MUDr. Vladimír Vaník
0ec1eb1c-912a-5947-a16e-da157c44aa44,mudr-vladimir-vanik-lekar,e-vuc,MUDr. Vladimír Vaník (lekár)
bc903592-5894-524d-87a1-0c29be93845c,mudr-zdena-volentierova-lekar,e-vuc,MUDr. Zdena Volentierová (lekár)
